         548         291         205         192         117          70          54          31          17          16
         550         283         225         159         111          71          70          34          31          14
         474         295         226         157         125          82          63          35          26          13
         488         311         204         159         123          78          43          40          31          25
         506         292         223         161         126          83          57          44          33          19
         529         282         187         143         121          77          59          53          31          15
         592         295         210         132         118          67          55          43          29          15
         549         334         212         118          99          86          54          42          25          11
         549         318         178         150          94          93          56          40          27          17
         643         324         195         135         104          56          43          25          18          13
         553         293         209         164          94          70          66          28          25          16
         569         286         205         148         120          75          53          29          20          14
         556         279         219         139          94          83          63          35          22          13
         598         316         205         154          87          75          60          32          19          15
         579         317         194         150          99          72          62          40          36          10
         541         339         220         141         104          67          59          34          29           8
         501         353         205         150         106          94          58          33          20          19
         530         311         228         141         109          92          71          47          29          31
         499         302         218         160         138          95          58          48          29          22
         518         324         188         161         117         104          51          40          23          22
         485         317         212         150         129         109          76          37          24          19
         485         313         212         148         125         105          70          44          37          23
         454         304         238         173         108         109          65          39          33          22
         464         306         217         137         112         106          75          46          43          18
         445         316         197         173         112          92          69          57          31          21
         448         301         222         158         121          85          72          45          42          16
         398         303         199         179         136         105          70          49          28          26
         498         303         208         142         137         103          70          46          31          27
         425         313         229         138         139          95          75          44          35          19
         495         269         209         157         137          92          69          44          36          24
         412         324         229         167         120          94          65          63          32          24
         392         303         220         163         150         105          70          50          50          21
         422         290         204         154         132         111          82          53          34          29
         381         288         238         157         126         108          67          56          35          33
         440         296         223         172         133          96          75          48          39          26
         349         291         250         180         129         115          81          54          39          25
         397         295         198         196         146          92          65          62          31          26
         410         286         212         149         131         122          74          60          49          22
         371         247         200         167         141         109          85          74          46          29
         394         306         193         165         141         113          90          56          49          22
         435         279         208         185         130          95          84          49          40          15
         370         272         220         189         161         109          72          66          43          22
         339         267         229         155         156         123          83          61          57          34
         314         243         226         194         166         115          93          79          44          33
         342         247         218         212         136         119         101          83          49          27
         312         244         215         170         139         107         123          76          54          33
         318         263         251         158         160         109          83          86          65          41
         306         264         208         172         159         123          97          87          53          32
         365         253         202         157         135         132         105          93          43          33
         352         278         208         191         172          96          93          67          56          42
         370         286         212         198         125          95          87          69          57          35
         344         281         209         156         177         122         104          73          38          30
         346         276         225         187         139         110          90          81          43          35
         361         311         212         172         162          97          84          64          37          28
         322         312         193         186         152         125          89          71          36          26
         392         298         206         164         141         116          80          55          40          31
         393         286         224         170         134          99          75          56          43          32
         371         263         230         175         138         119          84          52          43          23
         425         277         216         178         129          86          89          46          40          24
         384         250         233         188         144         115          82          56          32          26
         386         234         199         180         133         111         107          54          58          34
         348         282         241         172         140         116          79          72          40          29
         406         295         227         157         136         125          77          60          44          41
         400         294         200         165         148          99          74          66          40          32
         408         292         209         175         134         113          80          64          39          35
         395         297         222         194         131         104          79          54          41          21
